445;Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres;7
446;Boxing Men's Flyweight;39
447;Athletics Women's 4 x 100 metres Relay;10
448;Hockey Men's Hockey;18
449;Archery Men's Pole Archery, Small Birds, Individual;1
450;Handball Women's Handball;32
451;Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team;7
452;Judo Men's Half-Lightweight;8
453;Softball Women's Softball;22
454;Swimming Men's 100 metres Butterfly;34
455;Rowing Women's Coxless Pairs;19
456;Synchronized Swimming Women's Duet;20
457;Shooting Men's Military Pistol, Team;7
458;Sailing Mixed 8 metres;15
459;Racquets Men's Doubles;43
460;Equestrianism Mixed Dressage, Team;24
461;Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres;7
462;Swimming Women's 200 metres Freestyle;34
463;Cycling Women's Team Pursuit;40
464;Sailing Mixed 6.5 metres;15
465;Fencing Men's Single Sticks, Individual;41
466;Art Competitions Mixed Painting, Graphic Arts;48
467;Canoeing Women's Kayak Singles, 500 metres;11
468;Golf Women's Individual;21
469;Athletics Women's Pentathlon;10
470;Swimming Men's 100 Yard Backstroke;34
471;Handball Men's Handball;32
472;Sailing Mixed 18 foot;15
473;Gymnastics Women's Floor Exercise;4
474;Canoeing Men's Canadian Singles, 200 metres;11
475;Rowing Women's Coxed Fours;19
476;Rowing Women's Lightweight Double Sculls;19
477;Sailing Men's Windsurfer;15
478;Swimming Women's 4 x 100 metres Medley Relay;34
479;Tennis Men's Singles, Covered Courts;16
480;Shooting Men's Small-Bore Rifle, Prone, 50 and 100 yards;7
481;Shooting Mixed Free Pistol, 50 metres;7
482;Art Competitions Mixed Architecture, Unknown Event;48
483;Archery Men's Individual;1
484;Swimming Men's 4 x 50 Yard Freestyle Relay;34
485;Equestrianism Men's Dressage, Team;24
486;Weightlifting Men's Heavyweight;27
487;Archery Women's Double Columbia Round;1
488;Table Tennis Men's Team;12
489;Athletics Men's Decathlon;10
490;Beach Volleyball Men's Beach Volleyball;38
491;Shooting Men's Running Target, Single And Double Shot;7
492;Athletics Women's Discus Throw;10
493;Athletics Men's Discus Throw, Both Hands;10
494;Beach Volleyball Women's Beach Volleyball;38
495;Rowing Men's Lightweight Coxless Fours;19
496;Baseball Men's Baseball;3
497;Athletics Women's 100 metres;10
498;Cycling Men's Mountainbike, Cross-Country;40
499;Swimming Women's 200 metres Butterfly;34
500;Cycling Men's Team Sprint;40
501;Judo Men's Open Class;8
502;Boxing Men's Bantamweight;39
